FromUnitCode	ToUnitCode	MultiplyFactor	AddFactor	RuleNotesShort
PER_1000_SQFT	SQFT	0.001	0	basis -> base
SQFT	PER_1000_SQFT	1000.0	0	base -> basis
PER_200_SQFT	SQFT	0.005	0	basis -> base
SQFT	PER_200_SQFT	200.0	0	base -> basis
PER_1000_LINEAR_FT	LINEAR_FT	0.001	0	basis -> base
LINEAR_FT	PER_1000_LINEAR_FT	1000.0	0	base -> basis
PER_100_LINEAR_FT	LINEAR_FT	0.01	0	basis -> base
LINEAR_FT	PER_100_LINEAR_FT	100.0	0	base -> basis
PER_6_SQFT	SQFT	0.16666666666666666	0	basis -> base
SQFT	PER_6_SQFT	6.0	0	base -> basis
