RateID	TaskID	Time_UOM	BaseTime_Min	Time_Min_Minutes	Time_Max_Minutes	ProductionRate_Value	ProductionRate_UOM	Region	EffectiveFrom	EffectiveTo	ConditionCode	BuildingType	SourceDocID	SourceRef	ConfidenceCode	ConflictFlag	ConflictGroupID	QA_Flags
RTE-0001	TSK-085	EA	0.75	0.75									D001	aw_L17-18	HIGH	FALSE		
RTE-0002	TSK-086	EA	0.33	0.33									D001	aw_L19	HIGH	FALSE		
RTE-0003	TSK-084	EA	0.14	0.14									D001	aw_L20	HIGH	FALSE		
RTE-0004	TSK-090	EA	1.0	1.0									D001	aw_L21	HIGH	FALSE		
RTE-0005	TSK-083	EA	0.45	0.45									D001	aw_L22	HIGH	FALSE		
RTE-0006	TSK-077	EA	20.0	20.0									D001	aw_L23-24	HIGH	FALSE		
RTE-0007	TSK-082	EA	3.0	3.0									D001	aw_L25	HIGH	FALSE		
RTE-0008	TSK-091	EA	3.0	3.0									D001	aw_L26-27	HIGH	FALSE		
RTE-0009	TSK-080	EA	15.0	15.0									D001	aw_L28	HIGH	FALSE		
RTE-0010	TSK-081	EA	45.0	45.0									D001	aw_L29	HIGH	FALSE		
RTE-0011	TSK-079	EA	2.0	2.0									D001	aw_L30	HIGH	FALSE		
RTE-0012	TSK-078	EA	5.0	5.0									D001	aw_L31	HIGH	FALSE		
RTE-0013	TSK-087	EA	1.0	1.0									D001	aw_L32	HIGH	FALSE		
RTE-0014	TSK-089	EA	0.31	0.31									D001	aw_L33-34	HIGH	FALSE		
RTE-0015	TSK-088	EA	0.15	0.15									D001	aw_L35-36	HIGH	FALSE		
RTE-0016	TSK-076	EA	0.2	0.2									D001	aw_L37	HIGH	FALSE		
RTE-0017	TSK-086	PER_1000_SQFT	2.0	2.0		30000.0	SQFT_PER_HOUR						D001	aw_L41-42	HIGH	FALSE		
RTE-0018	TSK-092	PER_1000_SQFT	1.0	1.0		60000.0	SQFT_PER_HOUR						D001	aw_L43	HIGH	FALSE		
RTE-0019	TSK-059	PER_1000_SQFT	3.0	3.0		20000.0	SQFT_PER_HOUR						D001	aw_L47-48	HIGH	FALSE		
