DocID	SourceRef	TaskName_Source	Category_Source	Subcategory_Source	UnitText_Source	TimeText_Source	ProductionRateText_Source	PriceText_Source	CurrencyText_Source	ConditionText_Source	BuildingTypeText_Source	Notes_Source	ExtractConfidence
D001	aw_L17-18	Empty trash can (28 qt.), replace liner (or see sq. ft. rate - next section)	GENERAL CLEANING		EA	.75							HIGH
D001	aw_L19	Empty trash can, replace liner (28 quart)	GENERAL CLEANING		EA	.33							HIGH
D001	aw_L20	Empty and damp wipe ash tray	GENERAL CLEANING		EA	.14							HIGH
D001	aw_L21	Sanitize/polish drinking fountain	GENERAL CLEANING		EA	1.00							HIGH
D001	aw_L22	Dust/vacuum blinds 4' by 3'	GENERAL CLEANING		EA	.45							HIGH
D001	aw_L23-24	Clean blinds with ultra-sonic machine 4' x 3' (remove, clean, dry, re-hang)	GENERAL CLEANING		EA	20							HIGH
D001	aw_L25	Dust blind slats by hand with microfiber cloth 4' x 3'	GENERAL CLEANING		EA	3.00							HIGH
D001	aw_L26-27	Vacuum blind slats using backpack vacuum with brush attachment 4' x 3'	GENERAL CLEANING		EA	3.00							HIGH
D001	aw_L28	Clean refrigerator - damp wipe outside-spot clean inside	GENERAL CLEANING		EA	15.00							HIGH
D001	aw_L29	Clean refrigerator - remove items and deep clean	GENERAL CLEANING		EA	45.00							HIGH
D001	aw_L30	Clean microwave - spot clean inside	GENERAL CLEANING		EA	2.00							HIGH
D001	aw_L31	Clean microwave - deep clean outside/inside	GENERAL CLEANING		EA	5.00							HIGH
D001	aw_L32	Lunch room chairs - damp wipe seat and back	GENERAL CLEANING		EA	1.00							HIGH
D001	aw_L33-34	Lunch room table tops - apply solution with spray trigger and hand wipe	GENERAL CLEANING		EA	.31							HIGH
D001	aw_L35-36	"Lunch room table tops - apply solution with 18"" applicator and squeegee clean"	GENERAL CLEANING		EA	.15							HIGH
D001	aw_L37	Clean / dust / sanitize telephone	GENERAL CLEANING		EA	.20							HIGH
D001	aw_L41-42	Empty trash can, replace liner (28 quart)	GENERAL CLEANING	TRASH	PER_1000_SQFT	2	30,000						HIGH
D001	aw_L43	Remove trash from building	GENERAL CLEANING	TRASH	PER_1000_SQFT	1	60,000						HIGH
D001	aw_L47-48	High dusting - vents, corners, lights	DUSTING		PER_1000_SQFT	3	20,000						HIGH
D001	aw_L49-50	Low dusting - chair legs, base boards	DUSTING		PER_1000_SQFT	5	12,000						HIGH
D001	aw_L51-53	Horizontal dusting - spot cleaning using microfiber cloth, desktops, pictures, computers	DUSTING		PER_1000_SQFT	5	12,000						HIGH
D001	aw_L54-55	Horizontal dusting - microfiber cloth	DUSTING		PER_1000_SQFT	12	5,000						HIGH
D001	aw_L56-57	Apply wood polish to desk, wipe with cloth	DUSTING		PER_1000_SQFT	5.5	10,909						HIGH
D001	aw_L58-61	Spot clean desk top (remove coffee rings and finger prints from cleared areas using a microfiber cloth	DUSTING		PER_1000_SQFT	5.5	10,909						HIGH
D001	aw_L65-66	Overheads, behind computers, behind doors, etc.	DETAIL DUSTING		PER_1000_SQFT	4	15,000						HIGH
D001	aw_L69	Clean toilet - wipe top/bottom	RESTROOM CLEANING		EA	1.46							HIGH
D001	aw_L70	Clean toilet - detail clean	RESTROOM CLEANING		EA	4.00							HIGH
D001	aw_L71	Clean sink	RESTROOM CLEANING		EA	.44							HIGH
D001	aw_L72	Clean sink - detail clean	RESTROOM CLEANING		EA	1.19							HIGH
D001	aw_L73	Clean urinal wipe top/bottom	RESTROOM CLEANING		EA	1.46							HIGH
D001	aw_L74	Clean urinal - detail clean	RESTROOM CLEANING		EA	3.00							HIGH
D001	aw_L75	Clean/disinfect shower stall	RESTROOM CLEANING		EA	7.00							HIGH
D001	aw_L76	Restroom partition (wipe down)	RESTROOM CLEANING		STALL	2.00/stall							HIGH
D001	aw_L77-78	Clean fixtures, mirrors, counter tops, empty trash, wet mop, fill supplies	RESTROOM CLEANING		FIXTURE	2.5 per fixture							HIGH
D001	aw_L82-84	Machine scrub ceramic tile restroom floor - apply solution/scrub/pick-up and rinse	RESTROOM CLEANING CONTINUED		PER_1000_SQFT	81	740						HIGH
D001	aw_L85	Hand wash ceramic tile walls	RESTROOM CLEANING CONTINUED		PER_1000_SQFT	75	800						HIGH
D001	aw_L89	Sweeping edges with house broom	SWEEPING		PER_1000_SQFT	4.53	13,245						HIGH
D001	aw_L90	"24"" Push broom"	SWEEPING		PER_1000_SQFT	3.8	15,789						HIGH
D001	aw_L91	"48"" Push broom"	SWEEPING		PER_1000_SQFT	7.6	7,894						HIGH
D001	aw_L92-93	Pickup piles of dirt with house broom and dust pan	SWEEPING		PER_1000_SQFT	1.46	41,095						HIGH
D001	aw_L97	"18"" microfiber flat mop"	DUST MOPPING		PER_1000_SQFT	12	5,000						HIGH
D001	aw_L98	"24"" microfiber flat mop"	DUST MOPPING		PER_1000_SQFT	7	8,572						HIGH
D001	aw_L99	"24"" Dust mop"	DUST MOPPING		PER_1000_SQFT	7	8,572						HIGH
D001	aw_L100	"36"" Dust mop"	DUST MOPPING		PER_1000_SQFT	5	12,000						HIGH
D001	aw_L101	"48"" Dust mop"	DUST MOPPING		PER_1000_SQFT	2.5	24,000						HIGH
D001	aw_L102	"72"" Dust mop"	DUST MOPPING		PER_1000_SQFT	1.5	40,000						HIGH
D001	aw_L106-107	"18"" Microfiber flat mop and charging bucket"	MOPPING		PER_1000_SQFT	6	10,000						HIGH
D001	aw_L108	16-oz. mop head w/bucket wringer	MOPPING		PER_1000_SQFT	14	4,286						HIGH
D001	aw_L109	24-oz. mop head	MOPPING		PER_1000_SQFT	9.60	6,250						HIGH
D001	aw_L110	32-oz. mop head	MOPPING		PER_1000_SQFT	7.20	8,333						HIGH
D001	aw_L113-114	Dusting by hand using microfiber cloth	BASEBOARD CLEANING		PER_1000_LINEAR_FT	20							HIGH
D001	aw_L115-116	Dusting with extension pole with microfiber cloth and fixi clamp.	BASEBOARD CLEANING		PER_1000_LINEAR_FT	13							HIGH
D001	aw_L122	"12"" Upright vacuum"	CARPET VACUUMING		PER_1000_SQFT	27	2,220						HIGH
D001	aw_L123	"16"" Upright vacuum"	CARPET VACUUMING		PER_1000_SQFT	17.5	3,430						HIGH
