DocID	SourceRef	FieldType	Value_Raw	Value_Normalized	RangeMin_Normalized	RangeMax_Normalized	UnitText_Raw	CurrencyCode	ParseStatus	ParseNotesShort
D001	aw_L17-18	TIME_MIN	.75	0.75			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L19	TIME_MIN	.33	0.33			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L20	TIME_MIN	.14	0.14			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L21	TIME_MIN	1.00	1			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L22	TIME_MIN	.45	0.45			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L23-24	TIME_MIN	20	20			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L25	TIME_MIN	3.00	3			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L26-27	TIME_MIN	3.00	3			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L28	TIME_MIN	15.00	15			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L29	TIME_MIN	45.00	45			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L30	TIME_MIN	2.00	2			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L31	TIME_MIN	5.00	5			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L32	TIME_MIN	1.00	1			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L33-34	TIME_MIN	.31	0.31			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L35-36	TIME_MIN	.15	0.15			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L37	TIME_MIN	.20	0.2			minutes	UNKNOWN	OK	table=GENERAL CLEANING
D001	aw_L41-42	TIME_MIN	2	2			minutes	UNKNOWN	OK	table=GENERAL CLEANING - TRASH
D001	aw_L41-42	PROD_RATE	30,000	30000			sqft_per_hour	UNKNOWN	OK	table=GENERAL CLEANING - TRASH
D001	aw_L43	TIME_MIN	1	1			minutes	UNKNOWN	OK	table=GENERAL CLEANING - TRASH
D001	aw_L43	PROD_RATE	60,000	60000			sqft_per_hour	UNKNOWN	OK	table=GENERAL CLEANING - TRASH
D001	aw_L47-48	TIME_MIN	3	3			minutes	UNKNOWN	OK	table=DUSTING
D001	aw_L47-48	PROD_RATE	20,000	20000			sqft_per_hour	UNKNOWN	OK	table=DUSTING
D001	aw_L49-50	TIME_MIN	5	5			minutes	UNKNOWN	OK	table=DUSTING
D001	aw_L49-50	PROD_RATE	12,000	12000			sqft_per_hour	UNKNOWN	OK	table=DUSTING
D001	aw_L51-53	TIME_MIN	5	5			minutes	UNKNOWN	OK	table=DUSTING
D001	aw_L51-53	PROD_RATE	12,000	12000			sqft_per_hour	UNKNOWN	OK	table=DUSTING
D001	aw_L54-55	TIME_MIN	12	12			minutes	UNKNOWN	OK	table=DUSTING
D001	aw_L54-55	PROD_RATE	5,000	5000			sqft_per_hour	UNKNOWN	OK	table=DUSTING
D001	aw_L56-57	TIME_MIN	5.5	5.5			minutes	UNKNOWN	OK	table=DUSTING
D001	aw_L56-57	PROD_RATE	10,909	10909			sqft_per_hour	UNKNOWN	OK	table=DUSTING
D001	aw_L58-61	TIME_MIN	5.5	5.5			minutes	UNKNOWN	OK	table=DUSTING
D001	aw_L58-61	PROD_RATE	10,909	10909			sqft_per_hour	UNKNOWN	OK	table=DUSTING
D001	aw_L65-66	TIME_MIN	4	4			minutes	UNKNOWN	OK	table=DETAIL DUSTING
D001	aw_L65-66	PROD_RATE	15,000	15000			sqft_per_hour	UNKNOWN	OK	table=DETAIL DUSTING
D001	aw_L69	TIME_MIN	1.46	1.46			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L70	TIME_MIN	4.00	4			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L71	TIME_MIN	.44	0.44			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L72	TIME_MIN	1.19	1.19			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L73	TIME_MIN	1.46	1.46			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L74	TIME_MIN	3.00	3			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L75	TIME_MIN	7.00	7			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L76	TIME_MIN	2.00/stall	2			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L77-78	TIME_MIN	2.5 per fixture	2.5			minutes	UNKNOWN	OK	table=RESTROOM CLEANING
D001	aw_L82-84	TIME_MIN	81	81			minutes	UNKNOWN	OK	table=RESTROOM CLEANING CONTINUED
D001	aw_L82-84	PROD_RATE	740	740			sqft_per_hour	UNKNOWN	OK	table=RESTROOM CLEANING CONTINUED
D001	aw_L85	TIME_MIN	75	75			minutes	UNKNOWN	OK	table=RESTROOM CLEANING CONTINUED
D001	aw_L85	PROD_RATE	800	800			sqft_per_hour	UNKNOWN	OK	table=RESTROOM CLEANING CONTINUED
D001	aw_L89	TIME_MIN	4.53	4.53			minutes	UNKNOWN	OK	table=SWEEPING
D001	aw_L89	PROD_RATE	13,245	13245			sqft_per_hour	UNKNOWN	OK	table=SWEEPING
D001	aw_L90	TIME_MIN	3.8	3.8			minutes	UNKNOWN	OK	table=SWEEPING
D001	aw_L90	PROD_RATE	15,789	15789			sqft_per_hour	UNKNOWN	OK	table=SWEEPING
D001	aw_L91	TIME_MIN	7.6	7.6			minutes	UNKNOWN	OK	table=SWEEPING
D001	aw_L91	PROD_RATE	7,894	7894			sqft_per_hour	UNKNOWN	OK	table=SWEEPING
D001	aw_L92-93	TIME_MIN	1.46	1.46			minutes	UNKNOWN	OK	table=SWEEPING
D001	aw_L92-93	PROD_RATE	41,095	41095			sqft_per_hour	UNKNOWN	OK	table=SWEEPING
D001	aw_L97	TIME_MIN	12	12			minutes	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L97	PROD_RATE	5,000	5000			sqft_per_hour	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L98	TIME_MIN	7	7			minutes	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L98	PROD_RATE	8,572	8572			sqft_per_hour	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L99	TIME_MIN	7	7			minutes	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L99	PROD_RATE	8,572	8572			sqft_per_hour	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L100	TIME_MIN	5	5			minutes	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L100	PROD_RATE	12,000	12000			sqft_per_hour	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L101	TIME_MIN	2.5	2.5			minutes	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L101	PROD_RATE	24,000	24000			sqft_per_hour	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L102	TIME_MIN	1.5	1.5			minutes	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L102	PROD_RATE	40,000	40000			sqft_per_hour	UNKNOWN	OK	table=DUST MOPPING
D001	aw_L106-107	TIME_MIN	6	6			minutes	UNKNOWN	OK	table=MOPPING
D001	aw_L106-107	PROD_RATE	10,000	10000			sqft_per_hour	UNKNOWN	OK	table=MOPPING
D001	aw_L108	TIME_MIN	14	14			minutes	UNKNOWN	OK	table=MOPPING
D001	aw_L108	PROD_RATE	4,286	4286			sqft_per_hour	UNKNOWN	OK	table=MOPPING
D001	aw_L109	TIME_MIN	9.60	9.6			minutes	UNKNOWN	OK	table=MOPPING
D001	aw_L109	PROD_RATE	6,250	6250			sqft_per_hour	UNKNOWN	OK	table=MOPPING
D001	aw_L110	TIME_MIN	7.20	7.2			minutes	UNKNOWN	OK	table=MOPPING
